QVV;jan;fev;mar;abr;mai;jun;jul;ago;set;out;nov;dez;BM;Modelo;Linha;DataArquivo;Ano;Tipo_agr;Tipo;Serie;Linha_Destino;Pais
QVVXXXXXXXX1;0;10;0;0;0;0;0;0;0;0;0;0;MOTOR 1;Motor Pesado;Linha Pesado;25/01/2024 12:26:27;2024;M;CAMINHOES;VEICULO 1;B;NotFound
QVVXXXXXXXX2;0;0;1;6;6;6;6;6;5;2;5;2;MOTOR 2;Motor Pesado;Linha Pesado;25/01/2024 12:26:27;2024;M;CAMINHOES;VEICULO 2;H;NotFound
QVVXXXXXXXX3;0;0;1;6;6;6;6;6;5;2;5;2;MOTOR 3;Motor Medio;Linha Medios;25/01/2024 12:26:27;2024;M;CAMINHOES;VEICULO 3;H;NotFound
QVVXXXXXXX10;1;0;0;0;0;0;0;0;0;0;0;0;MOTOR 4;Motor Medio;Linha Medios;25/01/2024 12:26:27;2024;M;CAMINHOES;VEICULO 4;H;NotFound
QVVXXXXXXX11;3;0;0;1;1;1;1;1;1;0;1;0;MOTOR 5;Motor Leve;Linha Leves;25/01/2024 12:26:27;2024;M;CAMINHOES;VEICULO 5;H;NotFound
QVVXXXXXXX12;0;0;5;2;2;2;2;2;2;1;1;1;MOTOR 6;Motor Leve;Linha Leves;25/01/2024 12:26:27;2024;M;CAMINHOES;VEICULO 6;H;NotFound
QVAXXXXXXX1;61;54;44;43;33;106;48;108;0;0;0;0;MOTOR EXP 1;Motor Pesado;Linha Pesado;25/01/2024 12:26:27;2024;M;MOTOR EXPORTACAO;Alemanha;EXP;825.0
QVVXXXXXXXX1;0;10;0;0;0;0;0;0;0;0;0;0;CAMBIO 1;Cambio Pesado;Linha Pesado;25/01/2024 12:26:27;2024;G;CAMINHOES;VEICULO 1;B;NotFound
QVVXXXXXXXX2;0;0;1;6;6;6;6;6;5;2;5;2;CAMBIO 2;Cambio Pesado;Linha Pesado;25/01/2024 12:26:27;2024;G;CAMINHOES;VEICULO 2;H;NotFound
QVVXXXXXXXX3;0;0;1;6;6;6;6;6;5;2;5;2;CAMBIO 3;Cambio Medio;Linha Medios;25/01/2024 12:26:27;2024;G;CAMINHOES;VEICULO 3;H;NotFound
QVVXXXXXXX10;1;0;0;0;0;0;0;0;0;0;0;0;CAMBIO 4;Cambio Medio;Linha Medios;25/01/2024 12:26:27;2024;G;CAMINHOES;VEICULO 4;H;NotFound
QVVXXXXXXX11;3;0;0;1;1;1;1;1;1;0;1;0;CAMBIO 5;Cambio Leve;Linha Leves;25/01/2024 12:26:27;2024;G;CAMINHOES;VEICULO 5;H;NotFound
QVVXXXXXXX12;0;0;5;2;2;2;2;2;2;1;1;1;CAMBIO 6;Cambio Leve;Linha Leves;25/01/2024 12:26:27;2024;G;CAMINHOES;VEICULO 6;H;NotFound
QVVXXXXXXXX1;0;10;0;0;0;0;0;0;0;0;0;0;EIXO MOTRIZ 1;Eixo Tras Pesado;Linha Pesado;25/01/2024 12:26:27;2024;H;CAMINHOES;VEICULO 1;B;NotFound
QVVXXXXXXXX2;0;0;1;6;6;6;6;6;5;2;5;2;EIXO MOTRIZ 2;Eixo Tras Pesado;Linha Pesado;25/01/2024 12:26:27;2024;H;CAMINHOES;VEICULO 2;H;NotFound
QVVXXXXXXXX3;0;0;1;6;6;6;6;6;5;2;5;2;EIXO MOTRIZ 3;Eixo Tras Medio;Linha Medios;25/01/2024 12:26:27;2024;H;CAMINHOES;VEICULO 3;H;NotFound
QVVXXXXXXX10;1;0;0;0;0;0;0;0;0;0;0;0;EIXO MOTRIZ 4;Eixo Tras Medio;Linha Medios;25/01/2024 12:26:27;2024;H;CAMINHOES;VEICULO 4;H;NotFound
QVVXXXXXXX11;3;0;0;1;1;1;1;1;1;0;1;0;EIXO MOTRIZ 5;Eixo Tras Leve;Linha Leves;25/01/2024 12:26:27;2024;H;CAMINHOES;VEICULO 5;H;NotFound
QVVXXXXXXX12;0;0;5;2;2;2;2;2;2;1;1;1;EIXO MOTRIZ 6;Eixo Tras Leve;Linha Leves;25/01/2024 12:26:27;2024;H;CAMINHOES;VEICULO 6;H;NotFound
QVVXXXXXXXX1;0;10;0;0;0;0;0;0;0;0;0;0;EIXO AUX 1;Eixo Tras Medio;Linha Medios;25/01/2024 12:26:27;2024;J;CAMINHOES;VEICULO 1;B;NotFound
QVVXXXXXXXX2;0;0;1;6;6;6;6;6;5;2;5;2;EIXO AUX 2;Eixo Tras Medio;Linha Medios;25/01/2024 12:26:27;2024;J;CAMINHOES;VEICULO 2;H;NotFound
QVVXXXXXXX11;3;0;0;1;1;1;1;1;1;0;1;0;EIXO AUX 5;Eixo Tras Medio;Linha Medios;25/01/2024 12:26:27;2024;J;CAMINHOES;VEICULO 5;H;NotFound
QVVXXXXXXXX1;0;10;0;0;0;0;0;0;0;0;0;0;EIXO DIANT 1;Eixo Diant Pesado;Linha Pesado;25/01/2024 12:26:27;2024;V;CAMINHOES;VEICULO 1;B;NotFound
QVVXXXXXXXX2;0;0;1;6;6;6;6;6;5;2;5;2;EIXO DIANT 2;Eixo Diant Pesado;Linha Pesado;25/01/2024 12:26:27;2024;V;CAMINHOES;VEICULO 2;H;NotFound
QVVXXXXXXXX3;0;0;1;6;6;6;6;6;5;2;5;2;EIXO DIANT 3;Eixo Diant Medio;Linha Medios;25/01/2024 12:26:27;2024;V;CAMINHOES;VEICULO 3;H;NotFound
QVVXXXXXXX10;1;0;0;0;0;0;0;0;0;0;0;0;EIXO DIANT 4;Eixo Diant Medio;Linha Medios;25/01/2024 12:26:27;2024;V;CAMINHOES;VEICULO 4;H;NotFound
QVVXXXXXXX11;3;0;0;1;1;1;1;1;1;0;1;0;EIXO DIANT 5;Eixo Diant Leve;Linha Leves;25/01/2024 12:26:27;2024;V;CAMINHOES;VEICULO 5;H;NotFound
QVVXXXXXXX12;0;0;5;2;2;2;2;2;2;1;1;1;EIXO DIANT 6;Eixo Diant Leve;Linha Leves;25/01/2024 12:26:27;2024;V;CAMINHOES;VEICULO 6;H;NotFound
QVVXXXXXXXX2;0;0;1;6;6;6;6;6;5;2;5;2;EIXO DIANT AUX 1;Eixo Diant Pesado;Linha Pesado;25/01/2024 12:26:27;2024;W;CAMINHOES;VEICULO 2;H;NotFound
